Word,Count
bir, 3190000
bu, 1903689
ve, 1366881
ne, 1358923
için, 912757
mi, 894013
ben, 840301
çok, 818369
de, 771981
ama, 768817
var, 758151
evet, 756135
mı, 679385
değil, 654380
hayır, 607825
şey, 585648
da, 573893
sen, 559192
daha, 553353
bana, 459937
kadar, 453824
bunu, 435525
onu, 428433
tamam, 422718
seni, 422252
beni, 417730
iyi, 416379
yok, 407406
gibi, 403144
benim, 382904
her, 368675
sana, 355286
ki, 325252
sadece, 320751
neden, 318151
senin, 311710
burada, 300335
zaman, 297005
olduğunu, 278464
nasıl, 278299
hiç, 268709
şimdi, 261087
sonra, 260666
en, 251935
mu, 238156
misin, 232860
şu, 232597
ya, 232182
öyle, 228794
biraz, 219485
önce, 218374
musun, 212298
güzel, 210133
hadi, 205726
ona, 194383
İyi, 189400
oldu, 182485
bak, 182241
lütfen, 180761
yani, 179331
böyle, 175961
geri, 174601
eğer, 174282
bile, 172701
onun, 172480
istiyorum, 170832
çünkü, 167765
biliyorum, 167357
gerçekten, 163229
artık, 162236
belki, 161090
peki, 160120
kim, 159574
hey, 156715
başka, 155796
tek, 150367
doğru, 149799
bay, 148030
olarak, 148003
büyük, 146798
buraya, 143888
biri, 141320
tanrım, 138595
olan, 137899
sanırım, 135006
adam, 133277
olacak, 130682
olur, 130331
yardım, 130035
demek, 127384
hiçbir, 126396
bilmiyorum, 123808
efendim, 122875
nerede, 122585
bunun, 122132
biz, 121783
teşekkürler, 121724
ile, 120261
orada, 119922
merhaba, 117532
et, 116653
fazla, 116373
İşte, 116165
yeni, 115679
kötü, 115679
biliyor, 114793
gece, 114395
gün, 114108
harika, 113727
tüm, 113261
ederim, 112885
son, 111701
bütün, 111051
haydi, 110712
iki, 110427
şeyi, 108959
şeyler, 106671
tam, 106612
sorun, 105651
üzgünüm, 105542
hemen, 100866
ol, 99999
olsun, 99636
küçük, 99531
siz, 99487
onları, 97947
size, 95895
oh, 94919
gerek, 94209
hakkında, 92492
ver, 91797
gel, 91400
olabilir, 91374
devam, 89022
aynı, 88082
diye, 87882
kız, 87466
bize, 87237
bizi, 87139
buna, 86499
teşekkür, 86297
bayan, 85949
pekala, 85489
kendi, 85385
oluyor, 83662
izin, 83566
tabii, 83341
iş, 82764
sizi, 82546
yüzden, 82285
kimse, 81229
lanet, 80892
dur, 80637
hala, 80636
git, 80130
seninle, 80017
selam, 79568
dostum, 78853
asla, 78615
mısın, 77687
değilim, 77161
önemli, 77115
baba, 76777
içinde, 76775
tekrar, 76725
mü, 76581
bizim, 76074
benimle, 76040
söyle, 76027
göre, 75533
vardı, 74998
anne, 74836
aslında, 74682
dakika, 74380
geldi, 73789
biliyorsun, 73697
yoksa, 73159
üç, 72970
özür, 72694
al, 72621
saat, 72519
bence, 72002
neler, 71242
olmak, 71103
herkes, 71061
gerçek, 70979
ister, 70876
geliyor, 70521
şunu, 70459
istiyorsun, 70150
para, 69937
yapıyorsun, 69555
onunla, 69539
uzun, 69518
emin, 68904
işte, 68825
bakalım, 68688
onlar, 68664
bugün, 68323
miyim, 67698
bekle, 67486
yine, 67182
buradan, 66979
nedir, 66975
ilk, 66640
pek, 66205
birkaç, 66189
çocuk, 65173
yer, 65079
yere, 65030
birlikte, 64958
gidelim, 64790
hep, 64768
şekilde, 64604
eve, 64444
sizin, 64429
söyledi, 64420
yıl, 64018
bırak, 63914
çocuklar, 63577
olmaz, 63093
zaten, 63064
burası, 62854
kaç, 62624
hazır, 62320
nereye, 61630
hepsi, 61375
olmalı, 60903
dinle, 60334
istemiyorum, 59872
dilerim, 59632
lazım, 59622
etmek, 58947
ilgili, 58566
kendini, 58496
karşı, 57426
olduğu, 57285
söz, 57147
az, 56585
eski, 56198
ediyorum, 56100
kesinlikle, 55790
anda, 55731
fakat, 55457
tane, 55291
benden, 54745
gerekiyor, 54702
aman, 54554
an, 54383
bunlar, 54199
işe, 53846
işi, 53823
birşey, 53657
istiyor, 53044
yapmak, 53040
zor, 52431
görmek, 52119
tatlım, 51852
seviyorum, 51542
İki, 51446
misiniz, 51078
bundan, 50980
diğer, 50644
kadın, 50051
onlara, 49456
kişi, 49370
yapma, 48868
oraya, 48542
senden, 48107
kabul, 48008
elbette, 47952
kontrol, 47414
kez, 47324
hoş, 47233
hafta, 47052
yarın, 47052
gidip, 46866
özel, 46595
edin, 46523
zorunda, 46242
gereken, 46128
yanlış, 46078
yerde, 46045
doktor, 45759
bakın, 45267
sağ, 45196
dışarı, 44645
niye, 44546
ediyor, 44328
gördüm, 44293
bazı, 44287
kahretsin, 44210
ihtiyacım, 44177
geç, 44086
dr, 44041
birini, 43965
eminim, 43710
sakin, 43529
nereden, 43423
falan, 43150
mutlu, 43048
dikkat, 42970
dedim, 42698
yemek, 42563
hem, 42410
gidiyor, 42273
ondan, 42160
insan, 42083
musunuz, 41951
polis, 41673
ha, 41654
erkek, 41485
yalan, 41298
gitti, 40812
yalnız, 40726
değildi, 40618
beri, 40339
beş, 40265
görüşürüz, 40243
çabuk, 40231
insanlar, 40066
merak, 39892
etti, 39693
babam, 39409
haber, 39169
nefret, 38985
gördün, 38579
umarım, 38406
sence, 38390
dün, 37986
öldü, 37769
değilsin, 37703
ateş, 37437
veya, 37400
ah, 37398
sanki, 37268
dolar, 37164
yaptım, 36872
geçen, 36869
ayrıca, 36822
tanrı, 36722
kes, 36675
jack, 35895
yap, 35833
sabah, 35812
etme, 35812
olduğumu, 35779
kendine, 35733
kendimi, 35690
karar, 35688
yerine, 35596
aptal, 35498
üzerinde, 35433
istediğim, 35387
dört, 35135
bunları, 35040
su, 34938
sonunda, 34933
hâlâ, 34911
vardır, 34896
akşam, 34807
yeter, 34539
yaptın, 34507
adı, 34440
tamamen, 34232
boyunca, 34061
hangi, 33822
olmuş, 33812
ay, 33674
farklı, 33431
pekâlâ, 33398
kal, 33380
olması, 33308
olamaz, 33295
adamım, 33255
bitti, 33214
açık, 33170
ettim, 33162
bende, 32734
beraber, 32680
söyledim, 32603
yol, 32591
neyse, 32409
adamı, 32281
bazen, 32220
tarafından, 32176
İlk, 31972
adım, 31799
olursa, 31769
john, 31766
aldım, 31747
oldukça, 31730
annem, 31722
tabi, 31669
yüzünden, 31659
birisi, 31657
konuşmak, 31509
fark, 31360
buldum, 31252
cevap, 31063
zamanı, 31011
henüz, 30886
kolay, 30886
olmadığını, 30714
