Word,Count,pos,freq
bir,bir,Det,3190000
bu,bu,Det,1903689
ve,ve,Conj,1366881
ne,ne,Adj,1358923
için,için,Postp,912757
mi,mi,Ques,894013
ben,ben,Noun,840301
çok,çok,Det,818369
de,de,Conj,771981
ama,âmâ,Adj,768817
var,var,Adj,758151
evet,evet,Adv,756135
mı,mı,Ques,679385
değil,değil,Conj,654380
hayır,hayır,Adv,607825
şey,şey,Noun,585648
da,da,Conj,573893
sen,se,Noun,559192
daha,daha,Adv,553353
bana,banmak,Verb,459937
kadar,kadar,Postp,453824
bunu,bu,Pron,435525
onu,o,Pron,428433
tamam,tamam,Interj,422718
seni,se,Noun,422252
beni,ben,Noun,417730
iyi,iyi,Adj,416379
yok,yok,Conj,407406
gibi,gibi,Postp,403144
benim,ben,Noun,382904
her,her,Det,368675
sana,sanmak,Verb,355286
ki,ki,Conj,325252
sadece,sadece,Adv,320751
neden,neden,Adv,318151
senin,se,Noun,311710
burada,bura,Noun,300335
zaman,zaman,Noun,297005
olduğunu,olmak,Noun,278464
nasıl,nasıl,Adv,278299
hiç,hiç,Adv,268709
şimdi,şimdi,Adv,261087
sonra,sonra,Postp,260666
en,en,Adv,251935
mu,mu,Ques,238156
misin,mi,Ques,232860
şu,şu,Det,232597
ya,ya,Interj,232182
öyle,öyle,Adj,228794
biraz,biraz,Adv,219485
önce,önce,Postp,218374
musun,mu,Ques,212298
güzel,güzel,Adj,210133
hadi,hadi,Interj,205726
ona,onmak,Verb,194383
İyi,iyi,Adj,189400
oldu,olmak,Verb,182485
bak,bakmak,Verb,182241
lütfen,lütfen,Adv,180761
yani,yani,Adv,179331
böyle,böyle,Adv,175961
geri,geri,Adv,174601
eğer,eğer,Conj,174282
bile,bile,Adv,172701
onun,onmak,Verb,172480
istiyorum,istemek,Verb,170832
çünkü,çünkü,Conj,167765
biliyorum,bilemek,Verb,167357
gerçekten,gerçekten,Adv,163229
artık,artık,Adj,162236
belki,belki,Adv,161090
peki,peki,Adv,160120
kim,kim,Conj,159574
hey,hey,Interj,156715
başka,başka,Postp,155796
tek,tek,Adj,150367
doğru,doğru,Postp,149799
bay,bay,Adj,148030
olarak,olmak,Adv,148003
büyük,büyük,Adj,146798
buraya,bura,Noun,143888
biri,biri,Pron,141320
tanrım,tanrı,Noun,138595
olan,olmak,Adj,137899
sanırım,sanmak,Verb,135006
adam,ada,Noun,133277
olacak,olmak,Adj,130682
olur,olur,Adj,130331
yardım,yarmak,Verb,130035
demek,demek,Adv,127384
hiçbir,hiçbir,Det,126396
bilmiyorum,bilmek,Verb,123808
efendim,efendim,Interj,122875
nerede,nerede,Adv,122585
bunun,bu,Pron,122132
biz,biz,Pron,121783
teşekkürler,teşekkür,Noun,121724
ile,ile,Postp,120261
orada,ora,Noun,119922
merhaba,merhaba,Interj,117532
et,etmek,Verb,116653
fazla,fazla,Adv,116373
İşte,işte,Adv,116165
yeni,yeni,Adv,115679
kötü,kötü,Adv,115679
biliyor,bilemek,Verb,114793
gece,gece,Adv,114395
gün,gün,Noun,114108
harika,harika,Adj,113727
tüm,tüm,Det,113261
ederim,etmek,Verb,112885
son,son,Adj,111701
bütün,bütün,Adj,111051
haydi,haydi,Adv,110712
iki,iki,Num,110427
şeyi,Şe,Noun,108959
şeyler,şey,Noun,106671
tam,tam,Adv,106612
sorun,sormak,Verb,105651
üzgünüm,üzgün,Verb,105542
hemen,hemen,Adv,100866
ol,olmak,Verb,99999
olsun,olmak,Verb,99636
küçük,küçük,Adj,99531
siz,siz,Pron,99487
onları,o,Pron,97947
size,siz,Pron,95895
oh,oh,Interj,94919
gerek,gerek,Adj,94209
hakkında,hakkında,Adv,92492
ver,vermek,Verb,91797
gel,gelmek,Verb,91400
olabilir,Unk,Unk,91374
devam,devam,Interj,89022
aynı,aynı,Adj,88082
diye,diye,Postp,87882
kız,kız,Interj,87466
bize,biz,Pron,87237
bizi,biz,Pron,87139
buna,bunamak,Verb,86499
teşekkür,teşekkür,Noun,86297
bayan,bayan,Interj,85949
pekala,pekâlâ,Adj,85489
kendi,kendi,Pron,85385
oluyor,Unk,Unk,83662
izin,iz,Noun,83566
tabii,tabiî,Adj,83341
iş,iş,Noun,82764
sizi,siz,Pron,82546
yüzden,yüz,Noun,82285
kimse,kimse,Noun,81229
lanet,lanet,Interj,80892
dur,durmak,Verb,80637
hala,hâlâ,Adv,80636
git,gitmek,Verb,80130
seninle,sen,Pron,80017
selam,Sela,Noun,79568
dostum,dost,Noun,78853
asla,asla,Adv,78615
mısın,mı,Ques,77687
değilim,değil,Verb,77161
önemli,önem,Adj,77115
baba,baba,Adj,76777
içinde,içinde,Adv,76775
tekrar,tekrar,Adv,76725
mü,mü,Ques,76581
bizim,biz,Pron,76074
benimle,ben,Noun,76040
söyle,söylemek,Verb,76027
göre,göre,Postp,75533
vardı,varmak,Verb,74998
anne,Anne,Noun,74836
aslında,aslında,Adv,74682
dakika,dakika,Adv,74380
geldi,gelmek,Verb,73789
biliyorsun,bilemek,Verb,73697
yoksa,yoksa,Conj,73159
üç,üç,Num,72970
özür,özür,Noun,72694
al,al,Adj,72621
saat,saat,Noun,72519
bence,bence,Adv,72002
neler,ne,Pron,71242
olmak,olmak,Noun,71103
herkes,herkes,Pron,71061
gerçek,gerçek,Adj,70979
ister,ister,Conj,70876
geliyor,gelmek,Verb,70521
şunu,şu,Pron,70459
istiyorsun,istemek,Verb,70150
para,par,Noun,69937
yapıyorsun,yapmak,Verb,69555
onunla,o,Pron,69539
uzun,uzun,Adv,69518
emin,emin,Adj,68904
işte,işte,Adv,68825
bakalım,bakmak,Verb,68688
onlar,o,Pron,68664
bugün,bugün,Adv,68323
miyim,mi,Ques,67698
bekle,beklemek,Verb,67486
yine,yine,Adv,67182
buradan,bura,Noun,66979
nedir,ne,Verb,66975
ilk,ilk,Adv,66640
pek,pek,Adv,66205
birkaç,birkaç,Adj,66189
çocuk,çocuk,Adj,65173
yer,yemek,Verb,65079
yere,yermek,Verb,65030
birlikte,birlikte,Postp,64958
gidelim,gitmek,Verb,64790
hep,hep,Adv,64768
şekilde,şekil,Noun,64604
eve,ev,Noun,64444
sizin,siz,Pron,64429
söyledi,söylemek,Verb,64420
yıl,yılmak,Verb,64018
bırak,bırakmak,Verb,63914
çocuklar,çocuk,Noun,63577
olmaz,olmaz,Adj,63093
zaten,zaten,Adv,63064
burası,bura,Noun,62854
kaç,kaç,Adj,62624
hazır,hazır,Adj,62320
nereye,nere,Pron,61630
hepsi,hepsi,Pron,61375
olmalı,olmak,Adj,60903
dinle,dinlemek,Verb,60334
istemiyorum,istemek,Verb,59872
dilerim,dilmek,Verb,59632
lazım,lazım,Adj,59622
etmek,etmek,Noun,58947
ilgili,ilgili,Adj,58566
kendini,kendi,Pron,58496
karşı,karşı,Adj,57426
olduğu,olmak,Adj,57285
söz,söz,Noun,57147
az,az,Adv,56585
eski,eski,Adj,56198
ediyorum,etmek,Verb,56100
kesinlikle,kesinlikle,Adv,55790
anda,an,Noun,55731
fakat,fakat,Conj,55457
tane,tane,Noun,55291
benden,ben,Noun,54745
gerekiyor,gerekmek,Verb,54702
aman,aman,Interj,54554
an,anmak,Verb,54383
bunlar,bu,Pron,54199
işe,işemek,Verb,53846
işi,iş,Noun,53823
birşey,birşey,Noun,53657
istiyor,istemek,Verb,53044
yapmak,yapmak,Noun,53040
zor,zor,Adj,52431
görmek,görmek,Noun,52119
tatlım,tatlı,Noun,51852
seviyorum,sevmek,Verb,51542
İki,iki,Num,51446
misiniz,mi,Ques,51078
bundan,bu,Pron,50980
diğer,diğer,Adj,50644
kadın,kadın,Adj,50051
onlara,o,Pron,49456
kişi,kişi,Noun,49370
yapma,yapmak,Verb,48868
oraya,ora,Noun,48542
senden,se,Noun,48107
kabul,kabul,Noun,48008
elbette,elbette,Adv,47952
kontrol,Kontrol,Noun,47414
kez,kez,Noun,47324
hoş,hoş,Adj,47233
hafta,hafta,Adv,47052
yarın,yarın,Adv,47052
gidip,gitmek,Adv,46866
özel,özel,Adj,46595
edin,etmek,Verb,46523
zorunda,zor,Noun,46242
gereken,gerekmek,Adj,46128
yanlış,yanlış,Adv,46078
yerde,yer,Noun,46045
doktor,doktor,Noun,45759
bakın,bakmak,Verb,45267
sağ,sağ,Adj,45196
dışarı,dışarı,Adv,44645
niye,niye,Adv,44546
ediyor,etmek,Verb,44328
gördüm,görmek,Verb,44293
bazı,bazı,Det,44287
kahretsin,kahretmek,Verb,44210
ihtiyacım,ihtiyaç,Noun,44177
geç,geç,Adj,44086
dr,Dr,Noun,44041
birini,biri,Pron,43965
eminim,emin,Noun,43710
sakin,sakin,Adj,43529
nereden,nere,Pron,43423
falan,falan,Adj,43150
mutlu,mutlu,Adj,43048
dikkat,dikkat,Interj,42970
dedim,demek,Verb,42698
yemek,yemek,Noun,42563
hem,hem,Conj,42410
gidiyor,gitmek,Verb,42273
ondan,o,Pron,42160
insan,insan,Adj,42083
musunuz,mu,Ques,41951
polis,polis,Noun,41673
ha,ha,Conj,41654
erkek,erkek,Adj,41485
yalan,yalan,Adj,41298
gitti,gitmek,Verb,40812
yalnız,yalnız,Conj,40726
değildi,değil,Verb,40618
beri,beri,Postp,40339
beş,beş,Num,40265
