"acıkmak"	"feel hungry"
"acımak"	"pity, feel compassion, have pain"
"açmak"	"open"
"ağlamak"	"weep"
"alışmak"	"get used to"
"almak"	"take, get, buy"
"anlamak"	"understand"
"anlatmak"	"tell, explain, relate"
"anmak"	"remember, commemorate"
"aramak"	"look for, search"
"asmak"	"hang"
"atlamak"	"jump"
"atmak"	"throw (away), eject, discharge"
"ayırmak"	"sever, seperate"
"bağırmak"	"shout, scream"
"bağışlamak"	"forgive, pardon"
"bağlamak"	"tie, link"
"bakmak"	"look, take care of"
"basmak"	"step on, press"
"başarmak"	"succeed"
"başlamak"	"begin, start"
"beğenmek"	"like, appreciate"
"beklemek"	"wait (for), await, expect"
"benzemek"	"resemble, look like"
"bıkmak"	"get bored with, grow tired of"
"bırakmak"	"leave, quit, let go, allow"
"bilmek"	"know"
"binmek"	"ride, mount, embark, board"
"bitirmek"	"finish, complete, bring to an end"
"bitmek"	"come to an end, be finished, be exhausted, be fascinated by"
"bozmak"	"undo, break, change money, spoil"
"bölmek"	"separate, divide"
"bulmak"	"find, discover"
"büyümek"	"grow (up), increase"
"çağırmak"	"call (out), invite"
"çalışmak"	"work, study, try, strive"
"çalmak"	"knock (down), steal, play a musical instrument, ring a bell"
"çarpmak"	"collide with, strike against, multiply, bang"
"çekmek"	"pull, draw, withdraw, extract, suffer"
"çevirmek"	"turn something, send back, surround, translate"
"çıkarmak"	"take out, extract, expel, remove, subtract"
"çıkmak"	"go out, go up"
"çizmek"	"draw a line or picture, cross out"
"çözmek"	"untie, unravel, solve"
"değismek"	"change, become different, exchange, change clothes"
"demek"	"say"
"denemek"	"test, experiment, try, attempt"
"dilemek"	"wish (for)"
"dinlemek"	"listen, pay attention, obey"
"dinlenmek"	"rest, relax"
"doğmak"	"be born"
"dokunmak"	"touch, affect"
"dolaşmak"	"go around, take a walk, make a tour"
"dökmek"	"pour, shed, spill"
"dönmek"	"go round, circle, roll, swerve, return, change"
"dövmek"	"beat, thrash, pound"
"durmak"	"stop, stand"
"duymak"	"feel, sense, hear"
"düşmek"	"fall (down)"
"düşünmek"	"think, ponder, consider, be pensive"
"eğlenmek"	"have fun, enjoy oneself, make fun of"
"etmek"	"do, make"
"geçmek"	"pass, surpass, overtake"
"gelmek"	"come, arrive"
"getirmek"	"bring, fetch"
"gezmek"	"take a walk, make a tour, go on an outing"
"girmek"	"go in, enter"
"gitmek"	"go, go away"
"giymek"	"wear, put on"
"göçmek"	"migrate, die"
"gömmek"	"bury"
"göndermek"	"send"
"görmek"	"see, call upon, experience"
"görünmek"	"appear, seem, come in sight, seem like"
"görüşmek"	"meet, discuss, converse, have an interview"
"göstermek"	"show, demonstrate, indicate, point out"
"götürmek"	"take away, carry something to another place"
"gülmek"	"laugh"
"harcamak"	"spend, waste"
"hatırlamak"	"remember"
"hoşlanmak"	"like, enjoy, derive pleasure from"
"içmek"	"drink, smoke"
"inanmak"	"believe, trust, have faith"
"inmek"	"descend"
"istemek"	"want, require, need, desire, demand"
"işitmek"	"hear, overhear, learn of"
"itmek"	"push"
"izlemek"	"track, follow, attend, watch"
"kaçmak"	"flee, run away, escape"
"kalkmak"	"get up, stand up, set out, be removed, be annulled"
"kalmak"	"stay, remain, flunk"
"kapamak"	"shut, close, cover up"
"karışmak"	"be mingled, interfere, meddle, become confused"
"katmak"	"add to, contribute"
