word,freq,freq_rank
yorulmak,653,9316
anmak,34014,440
gömmek,3849,2891
atlamak,6871,1904
sokmak,2600,3790
yaşlanmak,965,7258
sevinmek,360,13317
övmek,2424,3983
görüşmek,9940,1411
inanmak,14234,1021
tutmak,18281,795
geçmek,72925,173
selamlamak,243,16319
aramak,23441,645
bozmak,2443,3960
içmek,6949,1890
bulmak,28454,533
korumak,20297,725
uyumak,1204,6344
koşmak,5706,2160
kokmak,455,11609
açmak,57463,246
kalkmak,5362,2279
işitmek,816,8081
beğenmek,2441,3964
taramak,5700,2164
titremek,461,11513
başlamak,206100,35
üşenmek,1,0
etmek,676940,7
okumak,17676,826
ağlamak,2660,3740
dilemek,1639,5162
yazmak,122345,90
anlamak,9390,1484
dinlenmek,7628,1760
benzemek,7347,1814
yanmak,5968,2094
getirmek,51881,282
gülmek,8240,1650
binmek,3776,2934
kullanmak,194981,38
saymak,18258,796
izlemek,18144,801
kuşkulanmak,1,0
üflemek,359,13335
savaşmak,10730,1319
uzamak,3624,3013
yakalamak,9913,1414
bıkmak,174,18989
çağırmak,3866,2883
kaymak,479,11261
kapamak,2999,3471
tamamlamak,25435,591
denemek,3514,3088
büyümek,19291,756
kovmak,1980,4568
hoşlanmak,1177,6441
başarmak,18786,776
görmek,120182,95
sarmak,4852,2446
kesmek,8633,1581
ödemek,8810,1563
pişirmek,2522,3872
susamak,196,18036
duymak,15313,944
sezmek,3622,3015
katmak,20226,729
ölçmek,2772,3647
göstermek,86074,140
yapmak,285948,23
parlamak,1080,6772
giymek,30251,491
yağmak,10530,1344
eğlenmek,35,32148
bitirmek,17579,831
öpmek,504,10932
bitmek,16408,883
çalışmak,176526,48
asmak,2726,3678
dönmek,43721,347
takmak,6558,1961
çıkmak,115886,98
yıkmak,10406,1355
yırtmak,297,14718
gelmek,133363,78
çekmek,33216,453
savunmak,29457,507
dinlemek,4792,2467
görünmek,13410,1081
bırakmak,31617,473
sürmek,83934,144
küsmek,44,30384
karışmak,9181,1513
harcamak,3767,2941
bilmek,51923,281
değismek,1,0
çıkarmak,35505,422
kurmak,163300,56
çözmek,4846,2448
üşümek,1,0
ayırmak,9692,1442
toplamak,15682,923
durmak,25523,589
oynamak,86864,135
dövmek,1176,6447
vurmak,8140,1665
terlemek,349,13562
temizlemek,1679,5090
önlemek,6358,2002
vazgeçmek,3361,3208
yaşamak,153204,63
susmak,2403,4013
taşınmak,46536,325
bağışlamak,2199,4260
kopmak,1894,4694
hatırlamak,3631,3009
kızmak,3505,3092
sunmak,36351,412
uğramak,13465,1076
gitmek,52128,280
bölmek,11188,1263
yürümek,12437,1145
kurtarmak,9591,1459
yaklaşmak,1740,4967
sapmak,2857,3578
alışmak,2224,4231
tartışmak,18716,778
tatmak,1338,5928
yatmak,4760,2475
öksürmek,68,26833
doğmak,58245,237
üretmek,19841,738
korkmak,4211,2711
inmek,361956,15
örtmek,1452,5615
düşmek,40943,365
üzülmek,540,10473
satmak,35992,416
varmak,95670,122
yakmak,9527,1466
uymak,5386,2268
yemek,298529,20
dökmek,3787,2929
demek,64260,211
acımak,199,17904
tartmak,251,16046
çalmak,10820,1304
gezmek,3900,2868
götürmek,7058,1865
sormak,8664,1578
yıkamak,419,12188
çizmek,6384,1999
çevirmek,14844,978
çarpmak,8543,1593
almak,385518,13
kaçmak,13035,1109
konuşmak,28061,543
özlemek,527,10628
şaşmak,74,26172
söylemek,46942,323
tanımak,46531,326
saklamak,2181,4278
dolaşmak,3395,3181
göçmek,13210,1096
bağlamak,23752,634
atmak,62678,219
yüzmek,7574,1770
göndermek,29143,514
girmek,72953,172
basmak,23408,646
bakmak,66782,197
sanmak,33440,451
ölmek,134215,76
seçmek,17389,841
kazanmak,121830,91
sevmek,11849,1195
ummak,2938,3518
unutmak,3142,3355
istemek,43703,348
kalmak,120404,94
oturmak,8388,1618
itmek,14790,982
bağırmak,2025,4502
koymak,15800,911
uyanmak,3769,2938
yalvarmak,332,13927
düşünmek,29188,513
uçmak,205,17664
beklemek,8312,1637
kırmak,7774,1729
vermek,209982,34
öğrenmek,13837,1051
anlatmak,9390,1484
yollamak,6209,2033
dokunmak,2073,4428
uygulamak,53581,272
rastlamak,1354,5887
