word,freq
etmek,893020
istemek,838332
yapmak,673777
gitmek,645593
sanmak,624418
demek,526857
söylemek,520011
gelmek,514614
bakmak,394770
vermek,376156
bilmek,348082
görmek,303593
almak,246060
yemek,235343
düşünmek,216933
kalmak,214473
anlamak,214364
anlatmak,214364
ölmek,190118
çalışmak,188429
durmak,171622
sevmek,166888
aramak,165044
beklemek,164505
varmak,163094
bulmak,162653
bırakmak,161522
sormak,154803
çıkmak,152702
konuşmak,151009
başlamak,126985
duymak,126042
dinlemek,104625
hoşlanmak,89091
getirmek,85017
dönmek,83010
geçmek,82543
inanmak,82364
yaşamak,82258
görünmek,82008
yaşlanmak,79301
girmek,76092
hatırlamak,74489
bitmek,71634
tanımak,70045
unutmak,62401
görüşmek,61803
tutmak,58272
korkmak,57789
anmak,57322
sürmek,55682
ummak,55447
oturmak,55408
çekmek,55390
düşmek,55298
çıkarmak,54856
atmak,53910
kesmek,53757
göstermek,51805
öğrenmek,50421
kullanmak,48977
yazmak,45300
oynamak,43045
inmek,42497
götürmek,40846
vurmak,39725
koymak,38724
denemek,38666
kurtarmak,36423
benzemek,36352
izlemek,35621
kızmak,35612
yürümek,35265
açmak,34470
okumak,34343
kazanmak,33848
yakalamak,33788
kalkmak,33247
korumak,32563
gülmek,31283
göndermek,30785
yatmak,29590
kaçmak,29420
çalmak,28090
uyumak,25729
sevinmek,25615
dolaşmak,25028
ödemek,24527
içmek,23356
satmak,23052
saymak,22169
bitirmek,20623
çağırmak,19489
takmak,19456
büyümek,19099
karışmak,18870
katmak,18772
ayırmak,18517
seçmek,18490
özlemek,17632
koşmak,17477
doğmak,16799
yaklaşmak,16574
saklamak,16511
başarmak,16019
basmak,15710
kurmak,15614
giymek,15585
taşınmak,15527
uymak,15350
yollamak,14947
beğenmek,14866
atlamak,14081
uyanmak,14011
kapamak,13700
çevirmek,13387
toplamak,13040
susmak,12765
savaşmak,12674
sokmak,12500
sarmak,11747
harcamak,11534
bağlamak,11485
yanmak,11468
kırmak,11199
ağlamak,10817
kokmak,10802
uğramak,10600
kaymak,9765
çarpmak,9750
acımak,9498
öpmek,9481
itmek,9058
savunmak,8824
dilemek,8665
çözmek,8425
temizlemek,8402
yakmak,8101
yüzmek,7994
tartışmak,7777
bağırmak,7385
dokunmak,7182
vazgeçmek,7164
binmek,7072
bozmak,6591
dinlenmek,6406
bağışlamak,6112
yalvarmak,5958
üzülmek,5912
yağmak,5863
kovmak,5859
yorulmak,5640
eğlenmek,5401
sunmak,5109
bıkmak,4871
taramak,4547
alışmak,3957
uzamak,3864
yıkmak,3590
çizmek,3161
uygulamak,2945
sapmak,2671
dövmek,2357
dökmek,2346
bölmek,2331
kopmak,2294
titremek,2185
susamak,2146
selamlamak,1933
gömmek,1870
tamamlamak,1769
parlamak,1706
asmak,1680
yıkamak,1663
uçmak,1654
gezmek,1614
önlemek,1571
pişirmek,1505
tatmak,1505
rastlamak,1500
şaşmak,1482
üretmek,1173
göçmek,768
örtmek,730
yırtmak,604
üşümek,560
işitmek,507
terlemek,444
sezmek,429
üflemek,423
tartmak,353
ölçmek,212
değismek,1
kuşkulanmak,1
küsmek,1
öksürmek,1
övmek,1
üşenmek,1
